experiment_id,category,query,sys_a_latency,sys_a_tokens,sys_b_latency,sys_b_route,sys_b_tokens
4e05acea,category_2,"What if the transaction amount was $6,152 instead of $14,651? Would your risk assessment change significantly?",2141.15,530,37516.4,transaction_risk,512
7880ad3d,category_3,Explain the transaction risk and briefly comment on whether this aligns with RBI fraud prevention guidelines.,6218.08,486,14000.99,governance,191
b98c72fd,category_4,"Is this $14,651 Online Shopping transaction suspicious? Also, what's the current global fraud rate in this category?",5368.46,605,12243.37,mixed_intent,167
32b313f3,category_9,Assess the risk and also explain how machine learning models typically detect fraud in real-time.,5113.74,598,23042.81,mixed_intent,315
8351baa8,category_5,"Hey, this transaction seems off. What's your take on the risk here?",2658.21,539,16238.12,transaction_risk,223
b4c6c188,category_3,Explain the transaction risk and briefly comment on whether this aligns with RBI fraud prevention guidelines.,2367.42,579,28911.93,governance,396
788c57c2,category_9,"What are the top 3 fraud prevention strategies used by Indian banks, and does this transaction fit any fraud patterns?",2426.92,596,30209.21,transaction_risk,411
ccbb7059,category_2,"Identify the minimum change in transaction attributes that would reduce the assessed risk level, and explain why.",2326.22,599,16797.08,transaction_risk,227
2032a579,category_3,Evaluate this Pharmacy purchase for fraud risk and recommend if we should report this to the Financial Crimes Enforcement Network.,2677.88,543,20486.8,transaction_risk,278
9aec56b8,category_1,"Given the transaction details and the user's historical behavior, assess whether this transaction poses elevated risk and justify your conclusion using at least two independent factors.",1982.81,494,21643.52,transaction_risk,294
46db27f0,category_5,"Hey, this transaction seems off. What's your take on the risk here?",1906.92,481,12627.67,transaction_risk,170
b4221186,category_4,"Is this $11,458 Utilities transaction suspicious? Also, what's the current global fraud rate in this category?",2533.71,585,11735.43,mixed_intent,159
9caf4b72,category_2,"If the same transaction occurred after 36 months of account history instead of 5 months, how would your assessment change?",2383.01,604,27682.61,transaction_risk,375
c2bd35b1,category_5,"Hey, this transaction seems off. What's your take on the risk here?",1604.14,402,10560.17,transaction_risk,141
736c358d,category_1,"Analyze this Electronics transaction for risk. Consider the amount ($41,971) relative to the user's average ($2,257) and the account age (5 months).",1825.08,444,9145.37,transaction_risk,123
beff10cc,category_5,This doesn't look normal compared to past behavior — should I worry?,2677.58,502,37929.5,transaction_risk,511
6640489f,category_4,Evaluate the transaction risk and write a short explanation suitable for a non-technical customer.,1032.12,287,9736.6,transaction_risk,132
eacc0c0c,category_3,Explain the transaction risk and briefly comment on whether this aligns with RBI fraud prevention guidelines.,2159.69,552,19048.38,governance,258
a354d443,category_4,"Is this $15,470 Clothing transaction suspicious? Also, what's the current global fraud rate in this category?",1997.14,514,12939.07,mixed_intent,173
a6b8aabb,category_9,Assess the risk and also explain how machine learning models typically detect fraud in real-time.,3142.34,597,12036.41,mixed_intent,158
b6b71d4b,category_1,"The transaction amount is $15,470, but the merchant category is Clothing. Explain whether the transaction should still be flagged and why.",2362.75,490,16807.91,transaction_risk,223
28e4d9e6,category_4,"Is this $5,430 Utilities transaction suspicious? Also, what's the current global fraud rate in this category?",2328.82,603,22333.4,mixed_intent,293
d72c35be,category_2,"Identify the minimum change in transaction attributes that would reduce the assessed risk level, and explain why.",2874.48,581,22152.66,transaction_risk,292
c14978e3,category_3,Explain the transaction risk and briefly comment on whether this aligns with RBI fraud prevention guidelines.,1960.45,466,11189.63,governance,147
b2ffd2db,category_2,"If the same transaction occurred after 36 months of account history instead of 5 months, how would your assessment change?",2575.94,605,15856.55,transaction_risk,210
84a528eb,category_4,Evaluate the transaction risk and write a short explanation suitable for a non-technical customer.,975.06,289,6613.82,transaction_risk,87
8fa26f9a,category_9,Assess the risk and also explain how machine learning models typically detect fraud in real-time.,2526.06,598,20564.61,mixed_intent,271
7160912b,category_1,"Analyze this Pharmacy transaction for risk. Consider the amount ($7,477) relative to the user's average ($9,517) and the account age (27 months).",2348.91,614,10347.76,transaction_risk,136
668601e2,category_4,Evaluate the transaction risk and write a short explanation suitable for a non-technical customer.,1072.05,249,7482.26,transaction_risk,96
825b9bfc,category_5,"Given the deviation from baseline expenditure, determine if escalation is warranted.",2480.94,585,16047.68,transaction_risk,213
d87b3d8a,category_3,Explain the transaction risk and briefly comment on whether this aligns with RBI fraud prevention guidelines.,2578.24,598,14420.36,governance,191
9ed4d46e,category_5,"Given the deviation from baseline expenditure, determine if escalation is warranted.",2231.76,504,13251.38,transaction_risk,175
bf8f7197,category_2,"Identify the minimum change in transaction attributes that would reduce the assessed risk level, and explain why.",2813.04,595,20073.04,transaction_risk,267
02cce833,category_1,"Analyze this Pharmacy transaction for risk. Consider the amount ($6,594) relative to the user's average ($7,930) and the account age (44 months).",2517.61,531,20468.47,transaction_risk,269
95a5abca,category_4,"Is this $6,594 Pharmacy transaction suspicious? Also, what's the current global fraud rate in this category?",2577.94,603,13258.37,mixed_intent,175
5f5f9e02,category_5,"Given the deviation from baseline expenditure, determine if escalation is warranted.",3798.25,556,11760.47,transaction_risk,156
